
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
95,Jay Edwards\edwarja02,SG,21,LAC,4,0,26,4.2,9.7,.429,0.0,2.8,.000,4.2,6.9,.600,1.4,4.2,.333,1.4,1.4,2.8,5.5,1.4,0.0,1.4,5.5,9.7
96,Kevin Edwards\edwarke01,SG,24,MIA,78,54,2211,6.4,15.6,.412,0.1,0.5,.300,6.3,15.1,.416,2.3,3.0,.760,1.3,3.3,4.6,4.1,2.0,0.5,2.9,2.4,15.3
97,Craig Ehlo\ehlocr01,SG,28,CLE,81,64,2894,5.4,11.7,.464,1.3,3.1,.419,4.1,8.6,.480,1.6,2.3,.681,1.8,3.6,5.5,4.6,1.6,0.3,2.0,2.8,13.7
98,Sean Elliott\elliose01,SF,21,SAS,81,69,2032,5.5,11.5,.481,0.0,0.2,.111,5.5,11.3,.486,3.3,3.8,.866,2.3,3.0,5.3,2.7,0.8,0.2,2.0,3.0,14.4
99,Dale Ellis\ellisda01,SG,29,SEA,55,49,2033,8.9,17.9,.497,1.7,4.5,.375,7.2,13.4,.538,3.4,4.2,.818,1.6,2.6,4.2,1.9,1.0,0.1,2.1,2.2,22.9
100,Pervis Ellison\ellispe01,C,22,SAC,34,22,866,4.6,10.4,.442,0.0,0.1,.000,4.6,10.4,.446,2.0,3.2,.628,2.7,5.5,8.1,2.7,0.7,2.4,2.6,5.5,11.3
101,Alex English*\englial01,SF,36,DEN,80,80,2211,10.3,21.1,.491,0.0,0.1,.400,10.3,21.0,.491,2.6,3.0,.880,1.9,2.7,4.7,3.7,0.8,0.4,1.5,2.1,23.3
102,Patrick Ewing*\ewingpa01,C,27,NYK,82,82,3165,10.5,19.0,.551,0.0,0.0,.250,10.5,19.0,.552,5.7,7.4,.775,2.7,7.5,10.2,2.1,0.9,3.7,3.2,3.7,26.7
103,Jim Farmer\farmeji01,SG,25,SEA,38,0,400,8.0,18.3,.438,0.7,2.4,.296,7.3,15.8,.460,5.1,7.2,.713,1.5,2.3,3.9,2.3,1.5,0.1,2.4,4.0,21.9
104,Duane Ferrell\ferredu01,SF,24,ATL,14,0,29,6.2,17.4,.357,0.0,1.2,.000,6.2,16.1,.385,2.5,7.4,.333,3.7,5.0,8.7,2.5,1.2,0.0,2.5,3.7,14.9
105,Vern Fleming\flemive01,PG,27,IND,82,82,2876,5.8,11.5,.508,0.2,0.4,.353,5.7,11.1,.514,2.9,3.7,.782,1.5,2.6,4.0,7.6,1.2,0.1,2.6,2.7,14.7
106,Sleepy Floyd\floydsl01,PG,29,HOU,82,73,2630,5.0,11.0,.451,1.2,3.2,.380,3.7,7.8,.480,2.6,3.2,.806,0.6,2.1,2.7,8.2,1.3,0.2,2.8,2.2,13.7
107,Tellis Frank\frankte01,PF,24,MIA,77,39,1762,5.7,12.4,.458,0.0,0.0,,5.7,12.4,.458,3.7,4.8,.765,3.1,4.8,7.9,1.7,1.0,0.6,2.7,5.8,15.0
108,Corey Gaines\gaineco01,SG,24,PHI,9,0,81,1.8,5.3,.333,0.4,0.9,.500,1.3,4.4,.300,0.4,1.8,.250,0.4,1.8,2.2,11.6,1.8,0.0,4.4,4.9,4.4
109,Kevin Gamble\gamblke01,SF,24,BOS,71,10,990,5.0,10.9,.455,0.1,0.7,.167,4.9,10.3,.473,3.1,3.9,.794,1.5,2.5,4.1,4.3,1.0,0.3,1.6,2.8,13.2
110,Winston Garland\garlawi01,PG,25,TOT,79,19,1762,4.7,11.7,.401,0.2,0.7,.333,4.5,11.0,.406,2.1,2.5,.836,1.0,3.3,4.4,6.2,1.6,0.2,3.2,3.1,11.7
111,Tom Garrick\garrito01,SG,23,LAC,73,22,1721,4.4,8.8,.494,0.1,0.4,.190,4.3,8.4,.510,1.8,2.4,.772,0.7,2.7,3.4,6.0,1.9,0.1,2.4,3.2,10.6
112,Kenny Gattison\gattike01,PF,25,CHH,63,2,941,5.7,10.3,.550,0.0,0.0,1.000,5.6,10.3,.549,2.9,4.2,.682,2.9,4.7,7.5,1.5,1.3,1.2,2.6,5.7,14.2
113,Derrick Gervin\gervide01,PF,26,NJN,21,0,339,9.9,20.9,.472,0.0,0.3,.000,9.9,20.6,.479,6.9,9.5,.730,3.1,3.8,6.9,0.8,2.1,0.7,1.3,5.0,26.7
114,Armen Gilliam\gilliar01,PF,25,TOT,76,66,2426,7.2,13.9,.515,0.0,0.0,.000,7.2,13.9,.516,4.5,6.2,.723,3.1,5.8,8.9,1.5,1.0,0.8,2.7,3.1,18.9
115,Mike Gminski\gminsmi01,C,30,PHI,81,81,2659,6.2,13.6,.457,0.0,0.2,.176,6.2,13.3,.462,2.6,3.2,.821,2.7,6.6,9.3,1.7,0.6,1.4,1.3,1.8,15.1
116,Gary Grant\grantga01,PG,24,LAC,44,44,1529,5.7,12.2,.466,0.1,0.5,.238,5.6,11.7,.476,2.1,2.7,.779,1.4,3.2,4.6,10.4,2.5,0.1,4.9,2.8,13.5
117,Greg Grant\grantgr01,PG,23,PHO,67,3,678,4.4,11.5,.384,0.2,0.8,.188,4.2,10.6,.400,2.1,3.1,.661,0.8,2.3,3.1,8.9,1.9,0.1,4.1,3.1,11.0
118,Harvey Grant\grantha01,PF,24,WSB,81,25,1846,5.5,11.7,.473,0.0,0.2,.000,5.5,11.6,.479,1.9,2.7,.701,2.7,4.0,6.7,2.6,1.0,0.8,1.7,3.8,12.9
119,Horace Grant\grantho01,PF,24,CHI,80,80,2753,5.8,11.2,.523,0.0,0.0,,5.8,11.2,.523,2.3,3.3,.699,3.1,5.1,8.2,3.0,1.2,1.1,1.4,3.0,14.0
120,Stuart Gray\grayst01,C,26,TOT,58,1,560,2.7,6.4,.424,0.0,0.3,.000,2.7,6.0,.447,2.1,3.0,.681,2.6,6.8,9.3,1.2,1.0,1.7,1.5,5.8,7.5
121,Jeff Grayer\grayeje01,SF,24,MIL,71,40,1427,5.7,12.3,.460,0.0,0.2,.125,5.6,12.1,.466,2.5,3.8,.651,2.4,3.1,5.5,2.7,1.2,0.3,2.1,3.2,13.8
122,A.C. Green\greenac01,PF,26,LAL,82,82,2709,5.1,10.7,.478,0.2,0.6,.283,4.9,10.1,.489,3.7,4.9,.751,3.5,6.0,9.5,1.2,0.9,0.7,1.5,2.8,14.1
123,Rickey Green\greenri01,PG,35,IND,69,0,927,3.9,9.0,.433,0.0,0.4,.091,3.8,8.5,.450,1.7,2.0,.843,0.3,1.7,2.1,7.1,2.0,0.0,2.4,2.3,9.5
124,Sidney Green\greensi02,C,29,ORL,73,31,1860,6.0,12.9,.468,0.0,0.1,.333,6.0,12.9,.468,2.6,4.0,.651,3.2,8.2,11.4,1.9,1.0,0.5,2.3,4.5,14.7
