Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Jeff Adrien,PF,24,GSW,23,196,11.3,0.457,0.0,0.35200000000000004,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,,0.1,0.1,0.2,0.051,,-3.3,-2.0,-5.3,-0.2
2,Arron Afflalo,SG,25,DEN,69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,,4.8,1.4,6.2,0.128,,1.7,-0.3,1.4,2.0
3,Maurice Ager,SG,26,MIN,4,29,10.1,0.682,0.364,0.0,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-0.9,0.2,-0.7,0.0
4,Alexis Ajinça,C,22,TOT,34,340,12.2,0.507,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,,0.0,0.4,0.4,0.052000000000000005,,-3.8,0.0,-3.8,-0.2
5,Solomon Alabi,C,22,TOR,12,59,2.0,0.18899999999999997,0.0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0.0,-0.2,-0.142,,-6.0,-2.9,-8.9,-0.1
6,Cole Aldrich,C,22,OKC,18,142,7.0,0.537,0.0,0.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,0.066,,-5.6,1.6,-4.0,-0.1
7,LaMarcus Aldridge,PF,25,POR,81,3211,21.5,0.5489999999999999,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,0.166,,2.6,-0.5,2.1,3.4
8,Malik Allen,PF,32,ORL,18,178,3.3,0.361,0.0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,,-0.1,0.2,0.2,0.046,,-5.8,0.5,-5.4,-0.2
9,Ray Allen,SG,35,BOS,80,2890,16.4,0.615,0.387,0.22399999999999998,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,,5.8,4.2,10.0,0.166,,2.3,0.6,2.9,3.6
10,Tony Allen,SG,29,MEM,72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,,2.0,2.7,4.7,0.152,,0.1,3.5,3.6,2.1
11,Al-Farouq Aminu,SF,20,LAC,81,1452,9.6,0.499,0.35200000000000004,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,,-0.8,1.4,0.7,0.022000000000000002,,-2.7,-0.1,-2.8,-0.3
12,Lou Amundson,PF,28,GSW,46,691,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,,0.2,0.5,0.6,0.044000000000000004,,-3.1,-1.4,-4.5,-0.4
13,Chris Andersen,C,32,DEN,45,732,19.0,0.636,0.006999999999999999,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,,1.9,1.2,3.2,0.207,,1.2,1.8,3.0,0.9
14,David Andersen,PF,30,TOT,40,373,10.9,0.513,0.19,0.182,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,,-0.1,0.3,0.3,0.032,,-2.8,-0.7,-3.4,-0.1
15,James Anderson,SF,21,SAS,26,286,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,0.051,,-1.1,-0.6,-1.7,0.0
16,Ryan Anderson,PF,22,ORL,64,1424,19.0,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,,4.0,2.5,6.4,0.21600000000000003,,4.2,0.4,4.6,2.4
17,Carmelo Anthony,SF,26,TOT,77,2751,21.7,0.557,0.16699999999999998,0.40299999999999997,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,,5.4,2.5,7.9,0.138,,3.2,-1.2,1.9,2.7
18,Joel Anthony,C,28,MIA,75,1463,7.3,0.583,0.0,0.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,,1.2,2.1,3.3,0.107,,-3.2,1.6,-1.6,0.2
19,Gilbert Arenas,PG,29,TOT,70,1796,10.8,0.47100000000000003,0.446,0.20800000000000002,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,,-1.6,2.2,0.5,0.013999999999999999,,-2.2,-0.3,-2.4,-0.2
20,Trevor Ariza,SF,25,NOH,75,2600,11.3,0.48700000000000004,0.35600000000000004,0.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,,-0.4,3.8,3.4,0.062,,-1.7,1.3,-0.4,1.0
21,Hilton Armstrong,C,26,TOT,53,488,8.8,0.508,0.053,0.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,,-0.1,0.6,0.5,0.045,,-4.7,1.0,-3.7,-0.2
22,Carlos Arroyo,PG,31,TOT,64,1185,9.0,0.528,0.253,0.172,2.2,7.9,5.2,15.8,0.9,0.1,17.0,14.0,,0.5,1.1,1.7,0.068,,-2.1,-0.2,-2.3,-0.1
23,Darrell Arthur,PF,22,MEM,80,1609,15.7,0.534,0.01,0.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,,1.5,2.2,3.8,0.113,,-1.8,0.2,-1.6,0.2
24,Ömer Aşık,C,24,CHI,82,989,11.8,0.5589999999999999,0.0,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,,0.5,2.2,2.7,0.13,,-3.6,1.8,-1.8,0.1
25,D.J. Augustin,PG,23,CHA,82,2757,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,,4.9,1.3,6.2,0.10800000000000001,,1.7,-1.6,0.1,1.5
26,Luke Babbitt,SF,21,POR,24,137,1.0,0.305,0.29100000000000004,0.16399999999999998,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,,-0.6,0.1,-0.4,-0.14300000000000002,,-8.3,-2.5,-10.8,-0.3
27,Renaldo Balkman,SF,26,TOT,8,62,9.3,0.542,0.154,0.308,3.7,9.1,6.5,4.7,3.2,2.4,6.3,11.3,,0.1,0.1,0.1,0.114,,-5.0,0.9,-4.1,0.0
28,Marcus Banks,PG,29,TOR,3,22,6.8,0.5429999999999999,0.0,4.0,0.0,5.5,2.7,17.2,2.3,0.0,26.6,15.3,,0.0,0.0,0.0,0.011000000000000001,,-6.6,0.1,-6.5,0.0
29,Leandro Barbosa,SG,28,TOR,58,1395,15.3,0.539,0.326,0.21,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,,1.4,0.1,1.5,0.052000000000000005,,0.4,-1.7,-1.3,0.2
30,J.J. Barea,PG,26,DAL,81,1669,14.8,0.535,0.29100000000000004,0.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,,1.9,1.4,3.2,0.09300000000000001,,0.5,-1.0,-0.5,0.6
31,Andrea Bargnani,C,25,TOR,66,2353,16.4,0.5329999999999999,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,,2.2,0.3,2.5,0.052000000000000005,,1.2,-2.6,-1.4,0.4
32,Matt Barnes,SF,30,LAL,53,1020,14.6,0.569,0.384,0.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,,1.4,1.6,3.0,0.142,,-0.5,1.0,0.6,0.7
33,Earl Barron,C,29,TOT,21,305,6.2,0.361,0.0,0.242,12.1,17.2,14.6,5.8,1.4,1.5,12.7,18.9,,-0.6,0.3,-0.2,-0.039,,-6.3,-1.9,-8.1,-0.5
34,Brandon Bass,PF,25,ORL,76,1980,15.9,0.5710000000000001,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,,3.2,3.1,6.3,0.153,,-0.3,0.5,0.2,1.1
35,Tony Battie,C,34,PHI,38,377,9.5,0.489,0.031,0.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,,0.0,0.6,0.6,0.075,,-4.1,0.8,-3.3,-0.1
36,Shane Battier,SF,32,TOT,82,2375,12.3,0.5670000000000001,0.525,0.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,,2.9,2.2,5.1,0.10300000000000001,,0.6,0.9,1.4,2.0
37,Nicolas Batum,SF,22,POR,80,2522,14.8,0.563,0.424,0.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,,4.4,2.3,6.6,0.126,,1.1,0.0,1.1,2.0
38,Jerryd Bayless,PG,22,TOT,71,1496,14.1,0.536,0.282,0.39799999999999996,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,,1.4,0.3,1.6,0.053,,0.1,-1.9,-1.8,0.1
39,Michael Beasley,SF,22,MIN,73,2361,15.5,0.51,0.132,0.23399999999999999,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,,0.7,1.0,1.7,0.035,,0.0,-1.8,-1.8,0.1
40,Rodrigue Beaubois,PG,22,DAL,28,496,11.4,0.5,0.37200000000000005,0.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,,-0.4,0.7,0.2,0.022000000000000002,,-3.2,0.5,-2.7,-0.1
41,Marco Belinelli,SG,24,NOH,80,1957,12.1,0.56,0.469,0.18100000000000002,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,,1.9,1.5,3.4,0.084,,0.2,-0.8,-0.6,0.7
42,Charlie Bell,SG,31,GSW,19,171,4.7,0.35700000000000004,0.488,0.09300000000000001,3.9,8.1,6.0,10.1,1.8,0.4,11.8,13.1,,-0.2,0.0,-0.1,-0.04,,-4.2,-0.8,-5.0,-0.1
43,Raja Bell,SG,34,UTA,68,2097,8.2,0.528,0.413,0.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0,12.6,,1.2,0.5,1.7,0.04,,-2.4,-0.7,-3.1,-0.6
44,Mike Bibby,PG,32,TOT,80,2285,10.9,0.57,0.604,0.10800000000000001,0.9,9.2,5.1,17.9,1.2,0.3,14.3,14.6,,2.2,1.8,4.0,0.085,,-0.6,-0.4,-0.9,0.6
45,Andris Biedriņš,C,24,GSW,59,1397,12.1,0.526,0.0,0.11699999999999999,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,,1.1,1.5,2.6,0.08800000000000001,,-2.5,0.2,-2.3,-0.1
46,Chauncey Billups,PG,34,TOT,72,2310,18.7,0.617,0.457,0.528,1.3,8.1,4.7,25.8,1.5,0.5,15.3,22.3,,6.6,1.4,8.0,0.166,,3.7,-1.2,2.6,2.7
47,DeJuan Blair,PF,21,SAS,81,1734,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,,1.5,3.2,4.8,0.132,,-1.2,0.7,-0.5,0.7
48,Steve Blake,PG,30,LAL,79,1581,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,,0.3,1.5,1.8,0.055,,-2.6,0.2,-2.3,-0.1
49,Andray Blatche,PF,24,WAS,64,2172,16.9,0.49700000000000005,0.019,0.29600000000000004,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,,0.3,2.1,2.4,0.053,,-0.3,-0.5,-0.9,0.6
50,Eric Bledsoe,PG,21,LAC,81,1841,10.8,0.499,0.239,0.27399999999999997,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,,-1.3,1.6,0.3,0.008,,-2.4,0.2,-2.2,-0.1
51,Keith Bogans,SG,30,CHI,82,1461,9.0,0.5589999999999999,0.772,0.10400000000000001,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,,1.4,2.2,3.6,0.11800000000000001,,-1.5,1.4,-0.2,0.7
52,Andrew Bogut,C,26,MIL,65,2297,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,,0.3,5.1,5.4,0.11199999999999999,,-1.0,2.4,1.3,1.9
53,Matt Bonner,PF,30,SAS,66,1432,13.5,0.617,0.62,0.11599999999999999,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,,3.0,1.4,4.4,0.147,,1.7,0.2,1.9,1.4
54,Trevor Booker,PF,23,WAS,65,1063,15.3,0.5820000000000001,0.004,0.39899999999999997,10.2,17.0,13.5,5.2,1.4,3.0,11.3,13.9,,1.8,0.8,2.6,0.11900000000000001,,-0.6,-0.3,-0.9,0.3
55,Carlos Boozer,C,29,CHI,59,1882,18.8,0.542,0.0,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,,1.9,3.9,5.8,0.149,,0.2,0.8,1.0,1.4
56,Chris Bosh,PF,26,MIA,77,2795,19.4,0.569,0.024,0.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8,23.5,,6.1,4.3,10.3,0.177,,1.4,-0.2,1.3,2.3
57,Earl Boykins,PG,34,MIL,57,862,17.6,0.526,0.20199999999999999,0.233,2.0,5.6,3.7,30.9,2.4,0.3,11.8,23.9,,1.1,1.1,2.3,0.125,,2.1,0.4,2.4,1.0
58,Craig Brackins,PF,23,PHI,3,33,0.1,0.25,0.313,0.0,7.0,7.0,7.0,4.6,1.6,0.0,0.0,22.3,,-0.1,0.0,-0.1,-0.154,,-8.4,-4.1,-12.5,-0.1
59,Avery Bradley,PG,20,BOS,31,162,2.2,0.36,0.075,0.179,3.2,9.3,6.5,11.9,3.0,0.0,18.1,26.1,,-0.8,0.3,-0.5,-0.139,,-10.8,-0.3,-11.1,-0.4
60,Elton Brand,PF,31,PHI,81,2809,18.5,0.5529999999999999,0.001,0.278,9.7,18.0,13.9,7.1,1.7,2.9,8.4,19.7,,5.1,4.4,9.4,0.161,,0.7,0.6,1.3,2.4
61,Corey Brewer,SF-SG,24,TOT,69,1510,11.0,0.48200000000000004,0.23,0.39299999999999996,4.2,8.9,6.5,9.1,3.3,0.8,13.2,18.8,,-0.1,1.3,1.1,0.036000000000000004,,-3.5,1.2,-2.3,-0.1
62,Ronnie Brewer,SG,25,CHI,81,1781,13.8,0.518,0.063,0.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,,1.7,3.8,5.4,0.147,,-1.3,3.7,2.4,2.0
63,Jon Brockman,C,23,MIL,63,677,9.6,0.5670000000000001,0.0,0.628,12.4,19.4,15.8,4.2,1.1,0.3,16.7,10.0,,0.8,1.0,1.9,0.132,,-4.1,0.2,-3.9,-0.3
64,Aaron Brooks,PG,26,TOT,59,1284,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,,0.7,0.4,1.1,0.04,,-0.3,-2.7,-3.0,-0.3
65,Derrick Brown,SF,23,TOT,49,576,12.9,0.588,0.076,0.45799999999999996,8.5,12.2,10.3,9.5,1.8,1.4,18.2,15.5,,0.5,0.5,1.0,0.083,,-1.4,-0.1,-1.6,0.1
66,Kwame Brown,C,28,CHA,66,1714,12.8,0.55,0.0,0.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,,1.8,1.7,3.5,0.09699999999999999,,-1.9,-0.9,-2.8,-0.3
67,Shannon Brown,SG,25,LAL,82,1568,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,,1.1,1.9,3.1,0.09300000000000001,,-0.9,0.2,-0.8,0.5
68,Kobe Bryant,SG,32,LAL,82,2779,23.9,0.5479999999999999,0.217,0.35600000000000004,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,,6.8,3.5,10.3,0.17800000000000002,,5.4,-0.2,5.2,5.0
69,Chase Budinger,SF,22,HOU,78,1738,14.2,0.534,0.418,0.21,3.4,15.0,9.2,11.5,1.2,0.7,8.5,19.9,,2.2,1.2,3.4,0.095,,0.6,-0.8,-0.2,0.8
70,Caron Butler,SF,30,DAL,29,867,14.2,0.523,0.172,0.233,3.1,12.5,8.0,9.1,1.7,0.7,10.5,25.1,,0.2,1.0,1.2,0.067,,-0.8,0.0,-0.9,0.2
71,Rasual Butler,SG,31,TOT,47,770,6.2,0.446,0.574,0.114,1.5,10.1,5.9,5.3,0.5,1.5,8.8,15.8,,-0.5,0.3,-0.1,-0.009000000000000001,,-2.3,-1.5,-3.8,-0.4
72,Andrew Bynum,C,23,LAL,54,1500,21.1,0.606,0.0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,,3.8,2.8,6.6,0.21,,1.8,1.4,3.2,2.0
73,Will Bynum,PG,28,DET,61,1125,15.2,0.524,0.12300000000000001,0.3,1.6,6.7,4.0,28.6,2.5,0.3,15.3,22.5,,1.1,0.4,1.5,0.066,,-0.8,-1.0,-1.9,0.0
74,José Calderón,PG,29,TOR,68,2102,16.3,0.522,0.262,0.17300000000000001,1.7,9.9,5.7,43.0,2.0,0.3,18.8,16.8,,3.2,0.4,3.7,0.084,,1.9,-1.2,0.8,1.5
75,Marcus Camby,C,36,POR,59,1540,14.8,0.426,0.003,0.23800000000000002,13.8,35.2,24.1,11.7,1.4,5.0,16.0,11.7,,0.8,3.0,3.7,0.11599999999999999,,-0.7,2.2,1.5,1.4
76,Derrick Caracter,C,22,LAL,41,215,10.0,0.532,0.0,0.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,,0.0,0.3,0.3,0.057,,-6.6,-0.5,-7.1,-0.3
77,Brian Cardinal,SF,33,DAL,56,618,9.7,0.672,0.87,0.18,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,,1.0,0.7,1.7,0.132,,-1.2,2.4,1.2,0.5
78,Rodney Carney,SF,26,TOT,27,336,10.8,0.521,0.345,0.245,4.3,12.1,8.1,4.8,1.8,1.1,11.6,18.1,,0.1,0.2,0.3,0.038,,-1.5,-1.2,-2.8,-0.1
79,DeMarre Carroll,PF,24,TOT,12,50,8.7,0.38799999999999996,0.0,0.16699999999999998,4.7,14.5,9.6,10.7,1.0,1.6,0.0,11.6,,0.0,0.0,0.1,0.066,,-2.9,-0.5,-3.5,0.0
