Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Quincy Acy,PF,24,NYK,68,1287,11.9,0.5329999999999999,0.18100000000000002,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,,1.0,0.7,1.7,0.063,,-2.1,-1.0,-3.1,-0.3
2,Jordan Adams,SG,20,MEM,30,248,12.8,0.489,0.29100000000000004,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,,0.0,0.4,0.4,0.073,,-1.2,2.6,1.4,0.2
3,Steven Adams,C,21,OKC,70,1771,14.1,0.5489999999999999,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,,1.9,2.2,4.1,0.111,,-1.5,0.2,-1.3,0.3
4,Jeff Adrien,PF,28,MIN,17,215,14.2,0.494,0.0,0.8640000000000001,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,,0.2,0.2,0.4,0.087,,-1.9,-0.6,-2.4,0.0
5,Arron Afflalo,SG,29,TOT,78,2502,10.7,0.5329999999999999,0.377,0.22399999999999998,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,,1.6,1.0,2.6,0.05,,-1.4,-1.1,-2.5,-0.3
6,Alexis Ajinça,C,26,NOP,68,957,19.9,0.595,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,0.159,,-0.7,0.4,-0.3,0.4
7,Furkan Aldemir,PF,23,PHI,41,540,12.0,0.517,0.064,0.34600000000000003,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,0.122,,-3.9,0.4,-3.6,-0.2
8,Cole Aldrich,C,26,NYK,61,976,18.1,0.513,0.0,0.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,,0.8,1.4,2.2,0.107,,-0.8,1.1,0.3,0.6
9,LaMarcus Aldridge,PF,29,POR,71,2512,22.8,0.528,0.07400000000000001,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,,4.9,3.7,8.6,0.165,,3.2,-0.3,2.9,3.1
10,Lavoy Allen,C,25,IND,63,1070,14.9,0.493,0.0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,,1.3,1.6,2.8,0.127,,-0.5,0.5,0.0,0.6
11,Tony Allen,SG,33,MEM,63,1648,14.6,0.528,0.064,0.27699999999999997,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,0.11900000000000001,,-1.5,3.1,1.6,1.5
12,Al-Farouq Aminu,SF,24,DAL,74,1366,14.4,0.504,0.34700000000000003,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,,1.2,2.0,3.3,0.115,,-0.7,1.5,0.7,1.0
13,Lou Amundson,PF,32,TOT,53,937,11.8,0.442,0.004,0.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,,-0.6,0.9,0.3,0.017,,-4.1,-0.2,-4.3,-0.5
14,Chris Andersen,C,36,MIA,60,1132,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,,2.1,1.5,3.6,0.151,,0.0,1.0,1.1,0.9
15,Alan Anderson,SG,32,BRK,74,1744,10.6,0.563,0.47700000000000004,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,,1.7,1.1,2.7,0.075,,-1.7,0.2,-1.5,0.2
16,Kyle Anderson,SF,21,SAS,33,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,,-0.3,0.6,0.3,0.044000000000000004,,-3.8,2.3,-1.4,0.1
17,Ryan Anderson,PF,26,NOP,61,1675,15.6,0.524,0.49200000000000005,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,,2.6,0.9,3.5,0.1,,1.8,-2.1,-0.3,0.7
18,Giannis Antetokounmpo,SG,20,MIL,81,2541,14.8,0.552,0.055999999999999994,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,,2.2,4.0,6.2,0.11699999999999999,,-1.2,1.2,0.0,1.2
19,Carmelo Anthony,SF,30,NYK,40,1428,21.5,0.531,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,,2.2,0.6,2.9,0.09699999999999999,,4.9,-1.9,3.0,1.8
20,Joel Anthony,C,32,DET,49,406,14.7,0.607,0.0,0.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,,0.5,0.7,1.2,0.142,,-2.9,3.1,0.2,0.2
21,Pero Antić,C,32,ATL,63,1037,9.5,0.508,0.584,0.41600000000000004,6.6,14.0,10.4,6.9,0.9,1.1,12.3,17.6,,0.5,1.0,1.5,0.07,,-3.0,-1.2,-4.1,-0.6
22,Trevor Ariza,SF,29,HOU,82,2930,12.7,0.539,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,,2.7,3.9,6.6,0.10800000000000001,,-0.1,1.1,1.0,2.2
23,Darrell Arthur,PF,26,DEN,58,988,11.5,0.466,0.28600000000000003,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20.0,,-0.1,0.9,0.9,0.042,,-2.4,0.7,-1.7,0.1
24,Ömer Aşık,C,28,NOP,76,1982,15.5,0.545,0.0,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,,2.8,2.2,5.0,0.12,,-0.4,-0.9,-1.2,0.4
25,D.J. Augustin,PG,27,TOT,82,1964,13.9,0.527,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,,2.5,0.9,3.4,0.083,,0.4,-1.6,-1.2,0.4
26,Jeff Ayres,PF,27,SAS,51,383,14.4,0.618,0.0,0.379,11.2,23.3,17.3,5.5,1.1,1.6,19.0,16.3,,0.6,0.6,1.2,0.147,,-2.4,0.3,-2.2,0.0
27,Luke Babbitt,SF,25,NOP,63,830,11.1,0.639,0.599,0.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,,1.1,0.5,1.6,0.092,,0.0,-0.3,-0.4,0.3
28,Cameron Bairstow,PF,24,CHI,18,64,2.1,0.309,0.0,0.35700000000000004,10.5,3.3,6.8,2.2,1.6,1.1,15.6,13.5,,-0.1,0.0,-0.1,-0.048,,-7.0,-2.0,-9.0,-0.1
29,Leandro Barbosa,SG,32,GSW,66,982,15.3,0.5579999999999999,0.29,0.192,2.6,7.2,5.0,14.9,2.0,0.6,9.5,20.5,,1.6,1.2,2.8,0.13699999999999998,,0.0,0.4,0.3,0.6
30,J.J. Barea,PG,30,DAL,77,1362,15.1,0.502,0.312,0.175,1.8,9.0,5.4,29.6,1.2,0.1,10.8,21.2,,2.1,0.6,2.7,0.096,,0.8,-1.1,-0.3,0.6
31,Andrea Bargnani,C,29,NYK,29,785,16.6,0.527,0.114,0.29600000000000004,4.6,14.4,9.3,11.3,0.1,2.9,9.3,26.4,,0.8,0.2,0.9,0.057999999999999996,,1.1,-2.2,-1.1,0.2
32,Harrison Barnes,SF,22,GSW,82,2318,13.4,0.573,0.32799999999999996,0.22899999999999998,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,,3.7,3.0,6.7,0.139,,0.2,-0.1,0.1,1.2
33,Matt Barnes,SF,34,LAC,76,2271,11.3,0.574,0.603,0.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,,2.2,2.1,4.3,0.091,,-0.5,0.2,-0.3,1.0
34,Earl Barron,C,33,PHO,16,143,5.0,0.361,0.10300000000000001,0.308,10.6,10.8,10.7,4.9,1.4,1.1,10.1,15.1,,-0.1,0.1,0.0,-0.011000000000000001,,-6.6,-0.8,-7.4,-0.2
35,Will Barton,SG,24,TOT,58,983,13.6,0.503,0.24100000000000002,0.266,2.8,15.3,8.9,13.0,2.5,1.5,13.4,20.2,,0.2,1.1,1.3,0.063,,-1.2,1.1,-0.2,0.4
36,Brandon Bass,PF,29,BOS,82,1929,16.3,0.557,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,,3.4,1.9,5.3,0.132,,0.5,-0.5,0.0,1.0
37,Nicolas Batum,SF,26,POR,71,2380,13.1,0.516,0.515,0.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,,2.0,3.2,5.2,0.105,,0.3,1.8,2.1,2.4
38,Jerryd Bayless,PG,26,MIL,77,1717,11.1,0.519,0.233,0.266,1.5,12.5,7.0,21.0,1.8,0.6,18.8,18.6,,0.3,2.0,2.4,0.066,,-2.5,0.4,-2.1,0.0
39,Aron Baynes,C,28,SAS,70,1122,15.9,0.618,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,,2.3,1.6,3.9,0.166,,-1.4,-0.4,-1.8,0.1
40,Kent Bazemore,SG,25,ATL,75,1324,9.7,0.52,0.39899999999999997,0.302,1.9,16.8,9.6,8.6,2.0,2.1,16.3,15.5,,-0.4,1.9,1.6,0.057,,-3.2,1.1,-2.1,0.0
41,Bradley Beal,SG,21,WAS,63,2107,14.0,0.521,0.304,0.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,,1.3,2.4,3.7,0.085,,-0.1,0.2,0.1,1.1
42,Michael Beasley,PF,26,MIA,24,505,10.6,0.474,0.16,0.12300000000000001,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,,-0.6,0.5,-0.1,-0.006999999999999999,,-4.2,-0.3,-4.5,-0.3
43,Marco Belinelli,SG,28,SAS,62,1388,12.4,0.5529999999999999,0.489,0.21100000000000002,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,,1.5,1.4,2.9,0.1,,-0.3,-0.7,-1.0,0.4
44,Jerrelle Benimon,PF,23,UTA,2,3,4.7,,,,38.7,76.6,57.8,0.0,0.0,0.0,100.0,15.3,,0.0,0.0,0.0,-0.215,,-9.4,-3.7,-13.0,0.0
45,Anthony Bennett,PF,21,MIN,57,894,11.4,0.45799999999999996,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,,-0.1,0.4,0.3,0.017,,-2.5,-1.4,-3.9,-0.4
46,Patrick Beverley,PG,26,HOU,56,1727,11.3,0.509,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1.0,12.9,16.1,,1.7,1.8,3.5,0.096,,-0.4,0.5,0.1,0.9
47,Sim Bhullar,C,22,SAC,3,3,44.3,0.5,0.0,0.0,0.0,36.5,18.9,78.5,0.0,26.3,0.0,29.4,,0.0,0.0,0.0,0.389,,14.9,17.5,32.5,0.0
48,Bismack Biyombo,C,22,CHO,64,1243,15.2,0.578,0.0,0.941,13.7,22.6,18.0,2.0,0.7,6.3,16.5,11.6,,1.8,2.2,4.0,0.156,,-2.4,1.3,-1.1,0.3
