Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,SG,24,DEN,82,75,27.1,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8
2,Alexis Ajinça,C,21,CHA,6,0,5.0,0.8,1.7,0.5,0.0,0.0,,0.8,1.7,0.5,0.5,0.0,0.2,0.0,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7
3,LaMarcus Aldridge,PF,24,POR,78,78,37.5,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.49700000000000005,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9
4,Joe Alexander,SF,23,CHI,8,0,3.6,0.1,0.8,0.16699999999999998,0.0,0.1,0.0,0.1,0.6,0.2,0.16699999999999998,0.3,0.4,0.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5
5,Malik Allen,PF,31,DEN,51,3,8.9,0.9,2.3,0.397,0.0,0.1,0.16699999999999998,0.9,2.2,0.409,0.401,0.2,0.3,0.9229999999999999,0.7,0.9,1.6,0.3,0.2,0.1,0.4,1.3,2.1
6,Ray Allen,SG,34,BOS,80,80,35.2,5.8,12.2,0.47700000000000004,1.8,5.0,0.363,4.0,7.2,0.556,0.551,2.9,3.2,0.9129999999999999,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3
7,Tony Allen,SG,28,BOS,54,8,16.5,2.4,4.7,0.51,0.0,0.1,0.0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1
8,Rafer Alston,PG,33,TOT,52,38,27.3,3.0,8.6,0.348,1.1,3.2,0.345,1.9,5.3,0.349,0.413,1.1,1.6,0.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2
9,Lou Amundson,PF,27,PHO,79,0,14.8,1.9,3.5,0.551,0.0,0.0,0.0,1.9,3.5,0.5529999999999999,0.551,0.8,1.6,0.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7
10,Chris Andersen,PF,31,DEN,76,0,22.3,1.9,3.3,0.5660000000000001,0.0,0.0,0.0,1.9,3.3,0.573,0.5660000000000001,2.2,3.1,0.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9
11,David Andersen,C,29,HOU,63,0,14.1,2.3,5.4,0.43200000000000005,0.4,1.2,0.34600000000000003,1.9,4.2,0.45799999999999996,0.47200000000000003,0.7,1.1,0.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8
