Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
221,Anthony Mason,PF,26,NYK,81,2482,12.9,0.5489999999999999,0.0,0.46399999999999997,10.7,17.8,14.3,10.1,0.9,0.5,15.3,15.6,,2.7,4.7,7.4,0.14300000000000002,,-0.6,1.1,0.5,1.6
222,Marlon Maxey,PF,23,MIN,43,520,15.8,0.578,0.006,0.414,15.4,22.5,19.0,3.9,1.1,2.2,16.0,20.3,,0.5,0.4,0.9,0.087,,-1.0,-2.3,-3.3,-0.2
223,Vernon Maxwell,SG,27,HOU,71,2251,13.4,0.512,0.42100000000000004,0.266,1.6,9.1,5.6,19.6,1.9,0.2,12.7,21.5,,1.4,2.5,3.9,0.08199999999999999,,0.1,-0.2,-0.1,1.1
224,Lee Mayberry,PG,22,MIL,82,1503,11.0,0.524,0.293,0.18100000000000002,2.0,7.1,4.5,25.4,2.0,0.3,17.3,14.0,,1.1,0.6,1.8,0.055999999999999994,,-1.6,-0.6,-2.2,-0.1
225,Travis Mays,PG,24,ATL,49,787,10.1,0.494,0.272,0.265,2.7,4.9,3.7,13.2,1.3,0.2,12.9,20.8,,0.1,0.2,0.3,0.02,,-2.1,-2.3,-4.4,-0.5
226,Bob McCann,SF,28,MIN,79,1536,10.9,0.519,0.005,0.371,7.3,14.8,11.1,7.0,1.7,2.4,14.2,16.1,,0.2,1.1,1.3,0.040999999999999995,,-2.8,-0.5,-3.3,-0.5
227,George McCloud,SF,25,IND,78,1500,11.2,0.496,0.345,0.19399999999999998,4.4,10.5,7.5,18.0,1.8,0.5,15.8,19.1,,0.4,1.0,1.4,0.044000000000000004,,-1.0,-0.6,-1.7,0.1
228,Rodney McCray,SF,31,CHI,64,1019,7.6,0.489,0.025,0.255,5.8,12.3,8.9,10.1,0.6,1.0,18.9,11.9,,0.1,0.8,0.9,0.044000000000000004,,-3.4,-0.9,-4.3,-0.6
229,Xavier McDaniel,PF,29,BOS,82,2215,16.3,0.539,0.024,0.261,8.7,16.2,12.5,11.0,1.6,1.4,14.2,23.6,,1.9,2.5,4.4,0.096,,-0.1,0.0,-0.1,1.1
230,Kevin McHale,PF,35,BOS,71,1656,14.4,0.519,0.027999999999999997,0.3,6.6,17.8,12.2,6.4,0.5,2.2,11.1,21.7,,1.2,1.6,2.8,0.08199999999999999,,-0.7,-1.0,-1.7,0.1
231,Derrick McKey,SF,26,SEA,77,2439,15.0,0.568,0.14400000000000002,0.381,5.7,10.0,7.8,11.2,2.2,1.6,14.3,18.3,,3.6,3.0,6.6,0.13,,1.2,0.7,1.9,2.4
232,Nate McMillan,PG,28,SEA,73,1977,15.1,0.527,0.142,0.292,4.9,13.3,9.0,25.2,4.4,1.1,21.2,14.0,,1.9,3.7,5.6,0.136,,0.1,3.9,4.1,3.0
233,Oliver Miller,C,22,PHO,56,1069,12.7,0.523,0.012,0.392,7.5,20.9,14.3,14.3,1.7,5.6,26.5,15.7,,-0.4,1.9,1.6,0.07,,-2.6,3.5,0.9,0.8
