Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Mark Acres,C,27,ORL,80,1691,8.3,0.536,0.013999999999999999,0.42100000000000004,9.3,17.8,13.4,5.0,1.0,0.8,17.2,9.4,,1.1,0.6,1.6,0.047,,-3.1,-0.6,-3.7,-0.7
2,Michael Adams,PG,27,DEN,79,2690,15.4,0.542,0.43700000000000006,0.317,1.8,7.3,4.4,23.3,2.0,0.1,11.1,18.5,,4.4,2.5,6.9,0.124,,1.8,-0.1,1.8,2.6
3,Mark Aguirre,SF,30,DET,78,2005,15.8,0.544,0.10400000000000001,0.28300000000000003,6.7,10.6,8.7,11.6,0.9,0.6,10.7,24.3,,3.1,2.5,5.7,0.136,,1.0,0.0,1.0,1.5
4,Danny Ainge,PG,30,SAC,75,2727,16.1,0.528,0.25,0.231,2.9,10.6,6.8,25.5,2.1,0.4,12.7,23.0,,2.7,2.1,4.8,0.085,,1.2,-0.1,1.1,2.1
5,Mark Alarie,PF,26,WSB,82,1893,14.1,0.51,0.062,0.16899999999999998,8.5,12.8,10.7,10.5,1.5,1.2,10.7,20.4,,1.5,1.6,3.1,0.079,,-0.6,-0.7,-1.3,0.3
6,Steve Alford,PG,25,DAL,41,302,18.7,0.544,0.159,0.268,0.8,8.5,4.7,21.2,2.5,0.6,9.4,24.7,,0.6,0.3,0.9,0.14400000000000002,,1.2,0.4,1.6,0.3
7,Randy Allen,SG,25,SAC,63,746,8.4,0.456,0.028999999999999998,0.18,7.5,13.4,10.5,4.4,1.1,1.5,9.8,16.5,,-0.3,0.6,0.2,0.013999999999999999,,-4.2,-0.9,-5.2,-0.6
8,Greg Anderson,PF,25,MIL,60,1291,13.0,0.522,0.0,0.39399999999999996,9.8,23.6,16.6,2.7,1.2,2.6,13.6,19.1,,0.2,1.7,2.0,0.073,,-2.8,-0.9,-3.8,-0.6
9,Nick Anderson,SG,22,ORL,81,1785,14.9,0.536,0.023,0.35100000000000003,6.1,12.7,9.3,10.5,1.8,1.0,13.7,22.1,,1.2,0.7,1.8,0.049,,0.0,-1.0,-1.0,0.5
10,Richard Anderson,PF,29,CHH,54,604,13.3,0.522,0.474,0.109,5.9,18.8,11.9,13.4,1.6,0.9,10.5,17.4,,0.4,0.5,1.0,0.077,,0.6,0.2,0.7,0.4
11,Ron Anderson,SF,31,PHI,78,2089,13.9,0.499,0.025,0.23399999999999999,4.4,11.5,8.0,10.0,1.7,0.4,7.8,20.4,,2.0,1.7,3.8,0.086,,-0.8,-0.5,-1.4,0.3
